TICKR,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
AAPL,"""cnbc"" ","""streaming"" ","""earnings"" ","""data"" ","""inc"" "
AAPL,"""week"" ","""disney"" ","""stock"" ","""amazon"" ","""rose"" "
AAPL,"""market"" ","""overthetop"" ","""week"" ","""new"" ","""titan"" "
AAPL,"""us"" ","""content"" ","""amazon"" ","""may"" ","""project"" "
AAPL,"""hope"" ","""comcast"" ","""data"" ","""noyb"" ","""new"" "
AAPL,"""cnbcs"" ","""stocks"" ","""also"" ","""access"" ","""us"" "
AAPL,"""business"" ","""might"" ","""qualcomm"" ","""schrems"" ","""sampp"" "
AAPL,"""friday"" ","""alphabet"" ","""reports"" ","""gdpr"" ","""cnbc"" "
AAPL,"""chinese"" ","""like"" ","""companies"" ","""market"" ","""year"" "
AAPL,"""president""","""want""","""friday""","""day""","""earnings"""
FB,"""earnings"" ","""services"" ","""whatsapp"" ","""services"" ","""growth"" "
FB,"""million"" ","""encryption"" ","""â"" ","""whatsapp"" ","""fake"" "
FB,"""week"" ","""endtoend"" ","""communications"" ","""could"" ","""revenue"" "
FB,"""also"" ","""stamos"" ","""encrypted"" ","""earnings"" ","""plainsite"" "
FB,"""quarter"" ","""whatsapp"" ","""messages"" ","""report"" ","""accounts"" "
FB,"""companies"" ","""instagram"" ","""stone"" ","""encryption"" ","""could"" "
FB,"""apple"" ","""messenger"" ","""pages"" ","""friday"" ","""maus"" "
FB,"""microsoft"" ","""messaging"" ","""content"" ","""people"" ","""likely"" "
FB,"""growth"" ","""report"" ","""messaging"" ","""stamos"" ","""advertising"" "
FB,"""market""","""could""","""conversation""","""also""","""billion"""
JNJ,"""auris"" ","""club"" ","""biotech"" ","""back"" ","""apple"" "
JNJ,"""jampj"" ","""dividends"" ","""wound"" ","""stock"" ","""epic"" "
JNJ,"""bloomberg"" ","""year"" ","""space"" ","""stocks"" ","""would"" "
JNJ,"""reported"" ","""50"" ","""investing"" ","""lower"" ","""â"" "
JNJ,"""reached"" ","""dividend"" ","""jerome"" ","""us"" ","""could"" "
JNJ,"""comment"" ","""100"" ","""care"" ","""companies"" ","""records"" "
JNJ,"""reporting"" ","""room"" ","""investors"" ","""amp"" ","""sell"" "
JNJ,"""bengaluru"" ","""portfolio"" ","""advanced"" ","""investors"" ","""trust"" "
JNJ,"""amp"" ","""members"" ","""nan"" ","""sell"" ","""data"" "
JNJ,"""health""","""forward""","""investment""","""much""","""apples"""
MO,"""barr"" ","""juul"" ","""stock"" ","""names"" ","""stock"" "
MO,"""million"" ","""stock"" ","""last"" ","""think"" ","""johnson"" "
MO,"""department"" ","""market"" ","""may"" ","""market"" ","""wynn"" "
MO,"""justice"" ","""interest"" ","""shares"" ","""mo"" ","""see"" "
MO,"""ethics"" ","""tobacco"" ","""billion"" ","""recent"" ","""resorts"" "
MO,"""recuse"" ","""cigarettes"" ","""would"" ","""high"" ","""sin"" "
MO,"""worth"" ","""stake"" ","""price"" ","""time"" ","""bottom"" "
MO,"""stocks"" ","""adults"" ","""juul"" ","""dividend"" ","""tobacco"" "
MO,"""klobuchar"" ","""smokers"" ","""valuation"" ","""stocks"" ","""year"" "
MO,"""plans""","""rates""","""tilray""","""already""","""trading"""
NVDA,"""billion"" ","""corp"" ","""â"" ","""nvidia"" ","""intel"" "
NVDA,"""intel"" ","""â"" ","""earnings"" ","""drive"" ","""analysts"" "
NVDA,"""chips"" ","""shares"" ","""also"" ","""platform"" ","""billion"" "
NVDA,"""data"" ","""stock"" ","""shares"" ","""selfdriving"" ","""per"" "
NVDA,"""revenue"" ","""one"" ","""thursday"" ","""ag"" ","""share"" "
NVDA,"""share"" ","""many"" ","""rose"" ","""companies"" ","""revenue"" "
NVDA,"""year"" ","""like"" ","""share"" ","""also"" ","""intels"" "
NVDA,"""per"" ","""great"" ","""sales"" ","""level"" ","""report"" "
NVDA,"""sales"" ","""little"" ","""per"" ","""next"" ","""refinitiv"" "
NVDA,"""center""","""jb""","""quarter""","""inc""","""quarter"""
SBUX,"""birthday"" ","""luckin"" ","""billion"" ","""shares"" ","""birthday"" "
SBUX,"""free"" ","""last"" ","""sales"" ","""rose"" ","""free"" "
SBUX,"""stars"" ","""year"" ","""samerestaurant"" ","""earnings"" ","""rating"" "
SBUX,"""rating"" ","""coffee"" ","""quarterly"" ","""us"" ","""stars"" "
SBUX,"""item"" ","""stores"" ","""united"" ","""inc"" ","""rewards"" "
SBUX,"""chocolate"" ","""reuters"" ","""analystsâ"" ","""â"" ","""item"" "
SBUX,"""rewards"" ","""china"" ","""forecasts"" ","""results"" ","""day"" "
SBUX,"""one"" ","""beijing"" ","""increase"" ","""sampp"" ","""chocolate"" "
SBUX,"""program"" ","""ltd"" ","""net"" ","""friday"" ","""one"" "
SBUX,"""day""","""corp""","""three""","""intel""","""program"""
